Buchungs_ID;Personen_FS;Land_FS;Ankunft;Abreise
1;2;0;2015-05-04 00:00:00;2015-05-05 00:00:00
6;5;0;2015-05-15 00:00:00;2015-05-19 00:00:00
7;6;0;2015-05-15 00:00:00;2015-05-19 00:00:00
8;3;0;2015-05-15 00:00:00;2015-05-19 00:00:00
9;4;0;2015-05-15 00:00:00;2015-05-19 00:00:00
11;7;115;2015-10-14 00:00:00;2015-10-20 00:00:00
12;8;186;2015-09-22 00:00:00;2015-09-25 00:00:00
13;9;186;2015-04-30 00:00:00;2015-05-01 00:00:00
14;10;115;2015-08-08 00:00:00;2015-08-09 00:00:00
15;11;0;2015-06-03 00:00:00;2015-06-04 00:00:00
17;13;0;2015-06-17 00:00:00;2015-06-18 00:00:00
18;14;193;2015-07-09 00:00:00;2015-07-10 00:00:00
19;15;0;2015-04-25 00:00:00;2015-04-26 00:00:00
20;16;115;2015-07-17 00:00:00;2015-07-18 00:00:00
22;18;170;2015-07-23 00:00:00;2015-07-24 00:00:00
23;19;164;2015-09-22 00:00:00;2015-09-24 00:00:00
24;20;186;2015-09-24 00:00:00;2015-09-25 00:00:00
25;22;186;2015-10-01 00:00:00;2015-10-02 00:00:00
26;25;0;2015-05-15 00:00:00;2015-05-16 00:00:00
27;26;0;2015-05-06 00:00:00;2015-05-20 00:00:00
29;28;138;2015-12-01 00:00:00;2015-12-03 00:00:00
30;30;0;2015-06-06 00:00:00;2015-06-09 00:00:00
31;31;0;2015-06-19 00:00:00;2015-06-20 00:00:00
32;32;198;2015-07-01 00:00:00;2015-07-02 00:00:00
34;33;198;2015-08-28 00:00:00;2015-08-29 00:00:00
35;34;198;2015-08-11 00:00:00;2015-08-17 00:00:00
36;35;198;2015-08-19 00:00:00;2015-08-20 00:00:00
37;36;129;2015-07-17 00:00:00;2015-08-04 00:00:00
38;37;122;2015-06-26 00:00:00;2015-07-04 00:00:00
39;3;0;2015-05-15 00:00:00;2015-05-19 00:00:00
41;40;193;2015-06-27 00:00:00;2015-06-28 00:00:00
42;41;0;2015-06-26 00:00:00;2015-06-27 00:00:00
43;42;115;2015-07-08 00:00:00;2015-07-09 00:00:00
44;43;186;2015-08-26 00:00:00;2015-08-27 00:00:00
