Positions_ID;Buchungs_FS;Konto;Anzahl;Preis;Rabatt;Benutzer_FS;erfasst;Leistung_Text;Leistung_FS
2309;561;110;36;16.0;0.0;1;2018-12-23 00:00:00;Mehrbettzimmer;4
2310;561;150;14;25.0;0.0;1;2018-12-23 00:00:00;Familienzimmer;6
2311;561;170;1;50.0;0.0;1;2018-12-23 00:00:00;Einerzimmer;4
2312;561;240;50;11.5;0.0;1;2018-12-23 00:00:00;Abendessen;8
2313;561;210;50;8.0;0.0;1;2018-12-23 00:00:00;Zmorge;8
2314;561;230;50;11.5;0.0;1;2018-12-23 00:00:00;Lunch;8
2315;562;110;54;16.0;0.0;2;2019-01-06 00:00:00;Mehrbettzimmer  3x6;8
2316;562;170;12;50.0;0.0;2;2019-01-06 00:00:00;Einerzimmer 4x1er;8
2317;563;110;30;16.0;0.0;2;2019-01-07 00:00:00;Mehrbettzimmer;3
2318;563;170;2;50.0;0.0;2;2019-01-07 00:00:00;Einerzimmer;4
2319;563;210;32;8.0;0.0;2;2019-01-07 00:00:00;Zmorge;8
2320;563;240;16;11.5;0.0;2;2019-01-07 00:00:00;Abendessen;8
2321;564;110;24;16.0;0.0;2;2019-01-07 00:00:00;Mehrbettzimmer;3
2322;564;170;2;50.0;0.0;2;2019-01-07 00:00:00;Einerzimmer;4
2323;564;210;26;8.0;0.0;2;2019-01-07 00:00:00;Zmorge;8
2324;564;240;16;11.5;0.0;2;2019-01-07 00:00:00;Abendessen;8
2325;565;110;36;16.0;0.0;2;2019-01-07 00:00:00;Mehrbettzimmer;3
2326;565;150;28;25.0;0.0;2;2019-01-07 00:00:00;Familienzimmer;6
2327;565;130;2;25.0;0.0;2;2019-01-07 00:00:00;Zweibettzimmer;3
2328;566;130;16;25.0;0.0;2;2019-01-09 00:00:00;Zweibettzimmer;3
2329;566;150;128;25.0;0.0;2;2019-01-09 00:00:00;Familienzimmer;6
2330;566;210;144;8.0;0.0;2;2019-01-09 00:00:00;Zmorge;8
2331;567;130;2;25.0;0.0;2;2019-01-09 00:00:00;Zweibettzimmer;3
2332;567;110;16;16.0;0.0;2;2019-01-09 00:00:00;Mehrbettzimmer;3
2333;567;210;18;8.0;0.0;2;2019-01-09 00:00:00;Zmorge;8
2334;565;210;65;8.0;0.0;2;2019-01-09 00:00:00;Zmorge;8
2335;565;220;55;11.5;0.0;2;2019-01-09 00:00:00;Mittagessen;8
2336;568;110;36;16.0;0.0;2;2019-01-09 00:00:00;Mehrbettzimmer 6x6;8
2337;568;150;23;25.0;0.0;2;2019-01-09 00:00:00;Familienzimmer 2x6/4x4;8
2338;568;130;2;25.0;0.0;2;2019-01-09 00:00:00;Zweibettzimmer 1x2;8
2339;568;210;61;8.0;0.0;2;2019-01-09 00:00:00;Zmorge;8
2340;568;220;53;11.5;0.0;2;2019-01-09 00:00:00;Mittagessen;8
2341;569;130;10;22.5;0.0;2;2019-01-13 00:00:00;Zweibettzimmer 5x2;8
2342;569;150;19;22.5;0.0;2;2019-01-13 00:00:00;Familienzimmer 4x4/1x6;8
2343;569;240;56;11.5;0.0;2;2019-01-13 00:00:00;Mittagessen ;8
2344;569;210;63;8.0;0.0;2;2019-01-13 00:00:00;Zmorge;8
